City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Fortuna,US,2020-07-11 03:30:42,40.6,-124.16,63.0,77,20,10.29
71,Touros,BR,2020-07-11 03:32:44,-5.2,-35.46,73.4,94,3,3.36
72,Saint-Louis,SN,2020-07-11 03:32:44,16.33,-15.0,78.8,74,20,4.7
73,Mehamn,NO,2020-07-11 03:31:09,71.04,27.85,47.62,92,100,10.38
74,Hualmay,PE,2020-07-11 03:32:45,-11.1,-77.61,59.36,84,36,6.4
75,Hovd,MN,2020-07-11 03:32:45,48.01,91.64,74.89,31,11,1.36
76,Kimberley,ZA,2020-07-11 03:32:45,-28.73,24.76,44.6,75,96,13.87
77,Kapaa,US,2020-07-11 03:32:45,22.08,-159.32,82.4,69,1,16.11
78,Srednekolymsk,RU,2020-07-11 03:32:45,67.45,153.68,71.69,46,3,11.63
79,Bluff,NZ,2020-07-11 03:32:45,-46.6,168.33,50.77,74,69,28.66
80,Kodiak,US,2020-07-11 03:32:45,57.79,-152.41,64.4,59,20,11.41
81,Cabo San Lucas,MX,2020-07-11 03:32:07,22.89,-109.91,84.99,79,1,3.0
82,Thompson,CA,2020-07-11 03:32:46,55.74,-97.86,62.6,67,40,4.7
83,Camrose,CA,2020-07-11 03:32:46,53.02,-112.84,66.0,53,0,1.99
84,Torbay,CA,2020-07-11 03:32:46,47.67,-52.73,52.0,100,90,8.05
85,Vostochnyy,RU,2020-07-11 03:32:46,55.82,37.87,64.0,59,36,6.71
86,Yar-Sale,RU,2020-07-11 03:32:46,66.83,70.83,64.56,50,97,5.53
87,Madras,IN,2020-07-11 03:31:54,13.09,80.28,78.8,94,75,6.78
88,Bubaque,GW,2020-07-11 03:32:47,11.28,-15.83,78.33,90,100,21.36
89,Ancud,CL,2020-07-11 03:32:47,-41.87,-73.82,45.0,87,75,23.04
90,Ponta Do Sol,PT,2020-07-11 03:32:47,32.67,-17.1,69.01,79,0,3.8
91,Chapais,CA,2020-07-11 03:32:47,49.78,-74.85,73.4,78,90,6.93
92,Cap Malheureux,MU,2020-07-11 03:32:47,-19.98,57.61,70.0,70,77,11.01
93,Tambun,ID,2020-07-11 03:32:47,-6.26,107.07,86.0,66,20,4.7
94,Trelew,AR,2020-07-11 03:32:47,-43.25,-65.31,39.67,67,25,13.71
95,Plougastel-Daoulas,FR,2020-07-11 03:32:40,48.37,-4.37,51.8,100,75,4.7
96,Atlantic City,US,2020-07-11 03:28:55,39.36,-74.42,77.0,88,20,9.17
97,Pacific Grove,US,2020-07-11 03:32:48,36.62,-121.92,62.6,72,1,8.05
